w0,w1,w2,w3,a0,a1,a2,a3,direction
270.0,210.0,130.0,190.0,0,0,25.0,2.0,2
280.0,210.0,120.0,190.0,0,0,15.0,2.0,2
290.0,210.0,110.0,190.0,0,0,21.0,68.0,2
290.0,200.0,110.0,200.0,0,0,21.0,58.0,1
290.0,190.0,110.0,210.0,0,0,21.0,48.0,1
290.0,180.0,110.0,220.0,0,0,21.0,38.0,1
290.0,170.0,110.0,230.0,0,0,21.0,28.0,1
290.0,160.0,110.0,240.0,0,0,21.0,18.0,1
290.0,150.0,110.0,250.0,0,0,21.0,8.0,1
290.0,140.0,110.0,260.0,0,2.0,21.0,0,1
300.0,140.0,100.0,260.0,0,2.0,11.0,0,2
310.0,140.0,90.0,260.0,115.0,172.0,0,0,2
310.0,150.0,90.0,250.0,115.0,162.0,0,0,3
310.0,160.0,90.0,240.0,115.0,152.0,0,0,3
310.0,170.0,90.0,230.0,115.0,142.0,0,0,3
310.0,180.0,90.0,220.0,115.0,132.0,0,0,3
310.0,190.0,90.0,210.0,115.0,122.0,0,0,3
310.0,200.0,90.0,200.0,115.0,112.0,0,0,3
310.0,210.0,90.0,190.0,115.0,102.0,0,0,3
310.0,220.0,90.0,180.0,115.0,92.0,0,0,3
310.0,230.0,90.0,170.0,115.0,82.0,0,0,3
310.0,240.0,90.0,160.0,115.0,72.0,0,0,3
310.0,250.0,90.0,150.0,115.0,62.0,0,0,3
310.0,260.0,90.0,140.0,115.0,52.0,0,0,3
310.0,270.0,90.0,130.0,115.0,42.0,0,0,3
310.0,280.0,90.0,120.0,115.0,32.0,0,0,3
310.0,290.0,90.0,110.0,115.0,22.0,0,0,3
310.0,300.0,90.0,100.0,115.0,12.0,0,0,3
310.0,310.0,90.0,90.0,115.0,2.0,0,0,3
300.0,310.0,100.0,90.0,105.0,2.0,0,0,0
290.0,310.0,110.0,90.0,95.0,2.0,0,0,0
280.0,310.0,120.0,90.0,85.0,2.0,0,0,0
270.0,310.0,130.0,90.0,75.0,2.0,0,0,0
260.0,310.0,140.0,90.0,65.0,2.0,0,0,0
250.0,310.0,150.0,90.0,55.0,2.0,0,0,0
240.0,310.0,160.0,90.0,45.0,2.0,0,0,0
230.0,310.0,170.0,90.0,35.0,2.0,0,0,0
220.0,310.0,180.0,90.0,25.0,2.0,0,0,0
210.0,310.0,190.0,90.0,15.0,2.0,0,0,0
200.0,310.0,200.0,90.0,78.0,0,0,8.0,0
200.0,300.0,200.0,100.0,78.0,2.0,0,0,1
190.0,300.0,210.0,100.0,68.0,2.0,0,0,0
180.0,300.0,220.0,100.0,58.0,2.0,0,0,0
170.0,300.0,230.0,100.0,48.0,2.0,0,0,0
160.0,300.0,240.0,100.0,38.0,2.0,0,0,0
150.0,300.0,250.0,100.0,28.0,2.0,0,0,0
140.0,300.0,260.0,100.0,18.0,2.0,0,0,0
130.0,300.0,270.0,100.0,0,0,200.0,168.0,0
130.0,290.0,270.0,110.0,0,0,200.0,158.0,1
130.0,280.0,270.0,120.0,0,0,200.0,148.0,1
130.0,270.0,270.0,130.0,0,0,200.0,138.0,1
130.0,260.0,270.0,140.0,0,0,200.0,128.0,1
130.0,250.0,270.0,150.0,0,0,200.0,118.0,1
130.0,240.0,270.0,160.0,0,0,200.0,108.0,1
130.0,230.0,270.0,170.0,0,0,200.0,98.0,1
130.0,220.0,270.0,180.0,0,0,200.0,88.0,1
130.0,210.0,270.0,190.0,0,0,200.0,78.0,1
130.0,200.0,270.0,200.0,0,0,200.0,68.0,1
130.0,190.0,270.0,210.0,0,0,200.0,58.0,1
130.0,180.0,270.0,220.0,0,0,200.0,48.0,1
130.0,170.0,270.0,230.0,0,0,200.0,38.0,1
130.0,160.0,270.0,240.0,0,0,200.0,28.0,1
130.0,150.0,270.0,250.0,0,0,200.0,18.0,1
130.0,140.0,270.0,260.0,0,0,200.0,8.0,1
130.0,130.0,270.0,270.0,0,2.0,200.0,0,1
140.0,130.0,260.0,270.0,0,2.0,190.0,0,2
150.0,130.0,250.0,270.0,0,2.0,180.0,0,2
160.0,130.0,240.0,270.0,0,2.0,170.0,0,2
170.0,130.0,230.0,270.0,0,2.0,160.0,0,2
180.0,130.0,220.0,270.0,0,2.0,150.0,0,2
190.0,130.0,210.0,270.0,0,2.0,140.0,0,2
200.0,130.0,200.0,270.0,0,2.0,130.0,0,2
210.0,130.0,190.0,270.0,0,2.0,120.0,0,2
220.0,130.0,180.0,270.0,0,2.0,110.0,0,2
230.0,130.0,170.0,270.0,0,2.0,100.0,0,2
240.0,130.0,160.0,270.0,0,2.0,90.0,0,2
250.0,130.0,150.0,270.0,0,2.0,80.0,0,2
260.0,130.0,140.0,270.0,0,2.0,70.0,0,2
270.0,130.0,130.0,270.0,0,2.0,60.0,0,2
280.0,130.0,120.0,270.0,0,2.0,50.0,0,2
290.0,130.0,110.0,270.0,0,2.0,40.0,0,2
300.0,130.0,100.0,270.0,0,2.0,30.0,0,2
310.0,130.0,90.0,270.0,0,2.0,20.0,0,2
320.0,130.0,80.0,270.0,0,2.0,10.0,0,2
330.0,130.0,70.0,270.0,167.0,0,0,52.0,2
330.0,120.0,70.0,280.0,167.0,0,0,42.0,1
330.0,110.0,70.0,290.0,167.0,0,0,32.0,1
330.0,100.0,70.0,300.0,167.0,0,0,22.0,1
330.0,90.0,70.0,310.0,167.0,0,0,12.0,1
330.0,80.0,70.0,320.0,167.0,0,0,2.0,1
320.0,80.0,80.0,320.0,157.0,0,0,2.0,0
310.0,80.0,90.0,320.0,147.0,0,0,2.0,0
300.0,80.0,100.0,320.0,137.0,0,0,2.0,0
290.0,80.0,110.0,320.0,127.0,0,0,2.0,0
280.0,80.0,120.0,320.0,117.0,0,0,2.0,0
270.0,80.0,130.0,320.0,107.0,0,0,2.0,0
260.0,80.0,140.0,320.0,97.0,0,0,2.0,0
250.0,80.0,150.0,320.0,87.0,0,0,2.0,0
240.0,80.0,160.0,320.0,77.0,0,0,2.0,0
230.0,80.0,170.0,320.0,67.0,0,0,2.0,0
220.0,80.0,180.0,320.0,57.0,0,0,2.0,0
210.0,80.0,190.0,320.0,47.0,0,0,2.0,0
200.0,80.0,200.0,320.0,37.0,0,0,2.0,0
190.0,80.0,210.0,320.0,27.0,0,0,2.0,0
180.0,80.0,220.0,320.0,17.0,0,0,2.0,0
170.0,80.0,230.0,320.0,0,192.0,8.0,0,0
170.0,90.0,230.0,310.0,0,182.0,8.0,0,3
170.0,100.0,230.0,300.0,0,172.0,8.0,0,3
170.0,110.0,230.0,290.0,0,162.0,8.0,0,3
170.0,120.0,230.0,280.0,0,152.0,8.0,0,3
170.0,130.0,230.0,270.0,0,142.0,8.0,0,3
170.0,140.0,230.0,260.0,0,132.0,8.0,0,3
170.0,150.0,230.0,250.0,0,122.0,8.0,0,3
170.0,160.0,230.0,240.0,0,112.0,8.0,0,3
170.0,170.0,230.0,230.0,0,102.0,8.0,0,3
170.0,180.0,230.0,220.0,0,92.0,8.0,0,3
170.0,190.0,230.0,210.0,0,82.0,8.0,0,3
170.0,200.0,230.0,200.0,0,72.0,8.0,0,3
170.0,210.0,230.0,190.0,0,62.0,8.0,0,3
170.0,220.0,230.0,180.0,0,52.0,8.0,0,3
170.0,230.0,230.0,170.0,0,42.0,8.0,0,3
170.0,240.0,230.0,160.0,0,32.0,8.0,0,3
170.0,250.0,230.0,150.0,0,22.0,8.0,0,3
170.0,260.0,230.0,140.0,0,12.0,8.0,0,3
170.0,270.0,230.0,130.0,0,86.0,19.0,0,3
170.0,280.0,230.0,120.0,0,76.0,19.0,0,3
170.0,290.0,230.0,110.0,0,66.0,19.0,0,3
170.0,300.0,230.0,100.0,0,56.0,19.0,0,3
170.0,310.0,230.0,90.0,0,46.0,19.0,0,3
170.0,320.0,230.0,80.0,0,36.0,19.0,0,3
170.0,330.0,230.0,70.0,0,26.0,19.0,0,3
170.0,340.0,230.0,60.0,0,16.0,19.0,0,3
170.0,350.0,230.0,50.0,0,6.0,19.0,0,3
180.0,350.0,220.0,50.0,0,6.0,9.0,0,2
190.0,350.0,210.0,50.0,0,0,109.0,138.0,2
190.0,340.0,210.0,60.0,0,0,109.0,128.0,1
190.0,330.0,210.0,70.0,0,0,109.0,118.0,1
190.0,320.0,210.0,80.0,0,0,109.0,108.0,1
190.0,310.0,210.0,90.0,0,0,109.0,98.0,1
190.0,300.0,210.0,100.0,0,0,109.0,88.0,1
190.0,290.0,210.0,110.0,0,0,109.0,78.0,1
190.0,280.0,210.0,120.0,0,0,109.0,68.0,1
190.0,270.0,210.0,130.0,0,0,109.0,58.0,1
190.0,260.0,210.0,140.0,0,0,109.0,48.0,1
190.0,250.0,210.0,150.0,0,0,109.0,38.0,1
190.0,240.0,210.0,160.0,0,0,109.0,28.0,1
190.0,230.0,210.0,170.0,0,0,109.0,18.0,1
